"Id;""Designator"";""Package"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,
"1;""U1"";""MP2393GTL-P"";1;""MP2315GJ-Z"";;;",,,,,
"2;""G***"";""eppl_logo"";1;""LOGO"";;;",,,,,
"3;""L1"";""744777004"";1;""4.9u"";;;",,,,,
"4;""TB1"";""SHIELD_ARDUINO_NANO"";1;""ARDUINO_NANO"";;;",,,,,
"5;""J3"";""PinHeader_2x03_P2.54mm_Vertical"";1;""Display"";;;",,,,,
"6;""H1",H2,H3,H4,H5,"H6"";""MountingHole_2.5mm"";6;""MountingHole"";;;"
"7;""J1"";""PinHeader_1x10_P2.54mm_Vertical"";1;""MPU9250"";;;",,,,,
"8;""J2"";""PinHeader_2x20_P2.54mm_Vertical"";1;""Pi_GPIO"";;;",,,,,
"9;""J4","J6"";""PinHeader_1x04_P2.54mm_Vertical"";2;""Conn_01x04_Male"";;;",,,,
"10;""J5"";""AMASS_XT60PW-M"";1;""XT60PW-M"";;;",,,,,
"11;""L2"";""IND_AIRD-02-151K"";1;""220u"";;;",,,,,
"12;""J7"";""PinHeader_1x03_P2.54mm_Vertical"";1;""Pressure Sensor"";;;",,,,,
"13;""C7",C6,C1,"C5"";""C_1210_3225Metric_Pad1.33x2.70mm_HandSolder"";4;""22u"";;;",,
"14;""C9"";""C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"";1;""10p"";;;",,,,,
"15;""C3"";""C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"";1;""1n"";;;",,,,,
"16;""C2"";""C_1210_3225Metric_Pad1.33x2.70mm_HandSolder"";1;""0.1u"";;;",,,,,
"17;""R2"";""R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"";1;""604k"";;;",,,,,
"18;""C4"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";1;""1u"";;;",,,,,
"19;""R7","R6"";""R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"";2;""700"";;;",,,,
"20;""R9",R10,R12,R11,R8,"R13"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";6;""10K"";;;"
"21;""R5"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""7.68K"";;;",,,,,
"22;""R14"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""40.2k"";;;",,,,,
"23;""C8"";""C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"";1;""6.8n"";;;",,,,,
"24;""Q3",Q1,"Q2"";""TRANS_BSS138_RFG"";3;""BSS138_RFG"";;;",,,
"25;""R4"";""R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"";1;""20"";;;",,,,,
"26;""R3"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""15k"";;;",,,,,
